t(s),V
0.000000,0.115469
1.000057,0.116743
2.000114,0.115469
3.000172,0.115469
3.999229,0.114195
5.000286,0.112284
6.000343,0.114195
7.000401,0.114195
8.000458,0.114195
9.000515,0.111009
9.999572,0.112921
11.000629,0.111646
11.999686,0.116743
13.000744,0.114195
14.000801,0.112921
14.999858,0.113558
15.999915,0.111646
16.999972,0.114832
18.000030,0.112921
19.000087,0.113558
19.999144,0.111009
21.000201,0.114195
22.000258,0.110372
23.000316,0.109098
24.000373,0.114195
25.000430,0.111646
26.000487,0.109098
27.000545,0.108461
27.999602,0.108461
29.000659,0.111009
29.999716,0.109098
30.999773,0.107824
32.000831,0.107187
32.998888,0.105913
33.998945,0.101453
34.999002,0.108461
36.000059,0.105275
37.000116,0.103364
37.999174,0.104001
39.000231,0.100179
40.000288,0.101453
41.000345,0.101453
42.000402,0.096993
42.999460,0.100816
44.000517,0.104001
45.000574,0.106550
46.000631,0.107824
47.000689,0.105913
47.999745,0.105275
49.000803,0.104638
50.000860,0.106550
50.998917,0.104001
51.999974,0.105275
52.999032,0.104001
54.000089,0.105913
55.000146,0.106550
56.000203,0.108461
56.999260,0.107824
57.999318,0.108461
59.000375,0.106550
60.000432,0.105275
61.000489,0.106550
62.000546,0.105275
63.000604,0.105275
64.000661,0.101453
65.000718,0.104001
66.000775,0.106550
67.000833,0.106550
67.998889,0.105913
68.998947,0.105275
70.000004,0.107187
71.000061,0.105275
72.000118,0.103364
73.000175,0.102090
74.000233,0.102090
74.999290,0.105913
76.000347,0.102727
77.000404,0.104001
78.000462,0.104001
79.000519,0.102090
80.000576,0.102090
81.000633,0.102727
82.000690,0.104001
83.000747,0.103364
84.000804,0.105275
84.999862,0.104001
85.999919,0.104001
86.999976,0.104001
87.999033,0.103364
88.999091,0.105275
90.000148,0.106550
91.000205,0.107187
92.000262,0.105913
93.000319,0.106550
93.999376,0.108461
95.000434,0.106550
96.000491,0.107187
97.000548,0.105275
97.999605,0.106550
98.999662,0.107187
99.999720,0.109098
100.999777,0.105275
102.000834,0.105275
102.998891,0.104001
103.998949,0.106550
104.999006,0.108461
106.000063,0.109098
106.999120,0.107824
107.999177,0.107824
109.000235,0.106550
110.000292,0.107187
111.000349,0.107824
112.000406,0.109098
112.999464,0.107187
114.000521,0.105275
115.000578,0.105913
116.000635,0.104001
117.000692,0.104638
118.000749,0.105913
119.000806,0.104001
120.000864,0.105913
120.999921,0.105913
121.998978,0.105275
123.000035,0.104638
124.000093,0.106550
125.000150,0.105913
126.000207,0.105913
127.000264,0.104001
127.999321,0.105913
128.999378,0.105913
129.999435,0.105913
131.000493,0.105913
132.000550,0.105275
133.000607,0.106550
133.999664,0.105913
135.000722,0.107824
136.000779,0.103364
137.000836,0.102727
137.998893,0.102727
138.999950,0.102090
140.000008,0.103364
141.000065,0.103364
142.000122,0.102727
143.000179,0.104001
144.000237,0.100816
145.000294,0.104001
146.000351,0.103364
147.000408,0.104001
148.000465,0.105275
149.000523,0.100816
150.000580,0.102090
151.000637,0.102090
151.999694,0.102090
153.000751,0.104001
154.000808,0.100816
154.999866,0.103364
155.999923,0.102090
156.999980,0.101453
158.000037,0.100816
159.000094,0.101453
160.000152,0.101453
160.999209,0.100179
162.000266,0.101453
162.999323,0.102090
164.000381,0.099541
165.000438,0.100179
166.000495,0.098904
167.000552,0.101453
168.000609,0.104001
169.000667,0.098267
170.000724,0.098904
170.999781,0.100816
171.999838,0.097630
172.999895,0.098267
173.999952,0.098267
174.999010,0.097630
175.999067,0.096993
177.000124,0.097630
178.000181,0.096356
179.000238,0.095719
180.000296,0.093170
181.000353,0.098267
182.000410,0.095082
183.000467,0.098267
184.000525,0.099541
185.000582,0.098904
186.000639,0.095719
187.000696,0.096993
188.000753,0.095082
189.000810,0.098904
189.999867,0.095082
190.999925,0.095719
191.998982,0.093170
193.000039,0.095719
194.000096,0.095082
195.000154,0.093808
196.000211,0.095719
197.000268,0.095719
197.999325,0.095719
199.000382,0.095082
199.999439,0.095719
201.000497,0.095082
202.000554,0.098267
203.000611,0.095719
203.999668,0.095719
205.000725,0.095082
206.000782,0.096356
207.000840,0.097630
207.999897,0.096356
208.999954,0.096993
210.000011,0.096356
210.999069,0.095719
212.000126,0.095082
212.999183,0.093170
213.999240,0.093808
215.000298,0.095082
215.999354,0.092533
216.999412,0.093808
218.000469,0.092533
218.999526,0.093808
220.000584,0.090622
221.000640,0.094445
221.999698,0.091896
223.000755,0.093808
223.999812,0.093808
224.999869,0.093808
225.999927,0.093170
226.999984,0.094445
228.000041,0.092533
229.000098,0.095082
229.999156,0.093808
230.999213,0.090622
232.000270,0.092533
233.000327,0.096356
233.999384,0.091896
234.999441,0.093170
236.000498,0.093808
237.000556,0.090622
237.999613,0.091896
239.000670,0.095719
240.000727,0.095082
241.000784,0.095082
242.000842,0.091896
242.998899,0.093808
243.999956,0.091259
245.000013,0.094445
246.000071,0.095082
247.000128,0.090622
248.000185,0.090622
249.000242,0.093170
249.999299,0.091259
251.000357,0.093170
252.000414,0.093170
253.000471,0.091896
254.000528,0.093808
254.999585,0.093170
255.999642,0.093808
257.000700,0.088711
258.000757,0.093808
259.000814,0.088074
260.000871,0.091259
260.999928,0.090622
261.999986,0.088711
263.000043,0.089985
264.000100,0.087436
265.000157,0.092533
266.000215,0.091896
267.000272,0.089985
267.999329,0.091259
269.000386,0.091896
270.000443,0.091259
271.000500,0.091259
272.000557,0.091896
273.000615,0.088074
274.000672,0.090622
275.000729,0.092533
276.000786,0.091259
276.999844,0.089985
277.999901,0.088074
278.999958,0.088711
280.000015,0.090622
281.000072,0.090622
282.000130,0.088074
283.000187,0.089985
283.999244,0.091259
285.000301,0.088074
286.000359,0.088711
287.000416,0.088074
287.999473,0.086162
289.000530,0.089348
289.999587,0.089348
290.999644,0.091259
291.999701,0.090622
293.000759,0.088711
293.999816,0.088711
295.000873,0.089348
295.999930,0.085525
296.999988,0.091259
298.000045,0.088711
299.000102,0.091259
300.000159,0.093170
301.000216,0.086799
301.999273,0.089985
302.999331,0.088711
303.999388,0.087436
305.000445,0.090622
305.999502,0.090622
307.000559,0.089985
307.999617,0.089348
309.000674,0.090622
309.999731,0.091259
310.999788,0.093170
311.999846,0.090622
312.998903,0.091259
313.999960,0.089985
315.000017,0.088711
316.000074,0.087436
317.000132,0.090622
318.000189,0.088711
319.000246,0.091259
320.000303,0.089985
320.999360,0.087436
321.998417,0.086162
322.998475,0.090622
323.998532,0.088074
324.998589,0.091896
325.998646,0.088711
326.998703,0.090622
327.998761,0.088711
328.998818,0.088711
329.998875,0.088074
330.997932,0.089348
331.998989,0.088711
332.999046,0.088074
333.998104,0.086162
334.999161,0.086162
335.998218,0.086799
336.998275,0.089348
338.000333,0.088074
338.998390,0.088711
339.998447,0.088711
340.998504,0.086799
341.998561,0.088711
342.998619,0.083614
344.000676,0.084888
345.000733,0.083614
346.000790,0.085525
346.999847,0.085525
347.999905,0.084251
348.998962,0.085525
350.000019,0.084888
351.000076,0.082977
352.000134,0.085525
353.000191,0.086162
354.000248,0.082977
355.000305,0.086799
356.000362,0.086162
357.000419,0.084888
358.000476,0.082977
359.000534,0.088074
360.000591,0.088711
361.000648,0.090622
361.999705,0.088074
363.000762,0.085525
364.000820,0.084251
364.999877,0.084251
365.998934,0.086799
366.999991,0.085525
367.999048,0.086162
369.000106,0.083614
370.000163,0.085525
371.000220,0.085525
371.999277,0.085525
372.999334,0.084888
374.000392,0.085525
375.000449,0.084251
376.000506,0.083614
377.000563,0.083614
378.000620,0.083614
379.000678,0.084888
379.999735,0.085525
381.000792,0.084251
381.999849,0.084888
382.998907,0.082340
383.999964,0.081065
384.999021,0.081065
386.000078,0.084888
387.000135,0.082340
388.000193,0.083614
389.000250,0.083614
390.000307,0.085525
391.000364,0.084251
391.999421,0.079791
392.999478,0.082977
393.999536,0.081703
395.000593,0.081065
395.999650,0.082977
397.000707,0.086162
398.000764,0.082340
398.999822,0.080428
399.998879,0.077880
400.999936,0.084251
401.998993,0.081065
403.000051,0.081065
403.999107,0.085525
405.000165,0.082340
406.000222,0.080428
407.000279,0.081065
408.000337,0.078517
408.999393,0.078517
410.000451,0.079791
411.000508,0.077880
411.999565,0.076606
412.999622,0.079791
414.000679,0.077243
415.000737,0.080428
416.000794,0.076606
416.999851,0.075969
417.999908,0.077880
418.999966,0.076606
420.000023,0.076606
421.000080,0.074057
422.000137,0.077243
423.000195,0.076606
423.999251,0.075969
424.999309,0.076606
426.000366,0.074694
427.000423,0.077243
427.999480,0.077880
429.000537,0.079791
429.999595,0.076606
431.000652,0.077880
432.000709,0.073420
433.000766,0.074694
434.000823,0.075331
434.999881,0.075331
435.998938,0.075331
436.999995,0.077243
438.000052,0.075331
439.000109,0.073420
440.000166,0.075969
441.000224,0.077243
442.000281,0.080428
442.999338,0.074694
443.999395,0.078517
445.000453,0.078517
446.000510,0.079791
447.000567,0.080428
448.000624,0.075969
449.000681,0.077880
449.999739,0.077243
451.000796,0.077243
452.000853,0.077880
452.999910,0.081065
453.999968,0.078517
455.000025,0.079791
456.000082,0.077243
457.000139,0.075331
458.000196,0.074694
459.000253,0.075969
460.000310,0.071509
461.000368,0.075969
462.000425,0.075331
462.999482,0.072783
464.000539,0.074694
465.000597,0.086799
465.999654,0.101453
466.999711,0.104001
468.000768,0.108461
469.000825,0.111009
469.999883,0.112921
470.999940,0.111646
471.999997,0.112921
473.000054,0.112921
473.999111,0.116743
474.999168,0.116743
476.000226,0.115469
477.000283,0.114195
478.000340,0.116106
479.000397,0.116106
480.000454,0.118655
480.999512,0.114195
482.000569,0.118655
482.999626,0.117380
484.000683,0.120566
485.000741,0.118655
485.999798,0.116106
487.000855,0.121203
487.999912,0.122477
488.999969,0.125663
490.000027,0.125663
491.000084,0.123752
492.000141,0.121840
493.000198,0.122477
494.000255,0.125663
495.000312,0.122477
496.000370,0.121840
496.999427,0.121840
498.000484,0.123752
499.000541,0.118655
500.000598,0.120566
500.999656,0.119292
501.999713,0.118018
503.000770,0.116106
504.000827,0.116106
504.999885,0.120566
505.999942,0.118655
506.999999,0.119292
508.000056,0.116106
509.000113,0.118018
509.999170,0.114195
511.000227,0.117380
511.999285,0.116743
512.999342,0.113558
514.000399,0.108461
515.000456,0.106550
516.000514,0.106550
516.999571,0.105913
517.999628,0.101453
519.000685,0.095082
520.000742,0.089348
520.999800,0.088074
521.999857,0.080428
522.999914,0.081703
523.999971,0.070872
525.000029,0.066412
526.000086,0.065775
527.000143,0.064501
528.000200,0.067686
528.999257,0.070235
530.000314,0.065775
531.000371,0.067049
532.000429,0.067686
532.999486,0.067686
534.000543,0.065775
535.000600,0.066412
535.999658,0.060678
537.000715,0.062589
537.999772,0.064501
538.999829,0.064501
539.999887,0.062589
540.999944,0.061315
542.000001,0.059404
543.000058,0.061952
544.000115,0.061315
544.999172,0.061315
546.000229,0.059404
547.000287,0.062589
547.999344,0.058767
548.999401,0.063226
550.000458,0.060678
550.999516,0.060041
552.000573,0.062589
553.000630,0.060678
553.999687,0.056218
555.000744,0.061952
556.000802,0.060678
557.000859,0.060678
557.999916,0.060041
558.998973,0.060678
560.000030,0.061952
561.000087,0.058767
562.000144,0.057492
563.000202,0.060678
564.000259,0.061315
565.000316,0.060678
566.000373,0.063226
567.000431,0.059404
568.000488,0.057492
568.999545,0.060678
570.000602,0.060041
571.000659,0.061952
572.000717,0.059404
572.998774,0.058130
573.998831,0.060041
574.998888,0.063226
575.997945,0.060678
576.999002,0.064501
577.998060,0.092533
578.998117,0.100816
579.998174,0.104001
580.999231,0.107824
581.998289,0.114195
582.999346,0.116106
583.999403,0.119292
584.998460,0.114195
585.998518,0.119292
586.998575,0.114832
587.999632,0.114832
588.999689,0.116106
589.999746,0.114195
590.998803,0.118655
591.998860,0.114195
592.997918,0.121203
593.997975,0.116743
594.998032,0.116743
595.999089,0.115469
596.998147,0.116106
597.999204,0.115469
598.999261,0.115469
599.998318,0.117380
600.998375,0.116743
601.998433,0.115469
602.998490,0.116106
603.998547,0.116743
604.999604,0.113558
605.999661,0.116743
606.998718,0.114832
607.999776,0.118018
608.998833,0.116743
609.997890,0.113558
610.997947,0.112284
611.999004,0.114195
612.998062,0.116743
613.998119,0.115469
614.999176,0.113558
615.998233,0.114832
616.998291,0.113558
617.998348,0.111646
618.998405,0.111009
619.999462,0.115469
620.999519,0.113558
621.999577,0.109735
622.999634,0.111009
623.998691,0.111646
624.998748,0.111646
625.999805,0.110372
626.999862,0.108461
627.998919,0.108461
628.998977,0.105913
629.999034,0.104638
630.998091,0.107824
631.999148,0.107824
632.998206,0.105913
633.998263,0.108461
634.998320,0.104001
635.998377,0.102090
636.998435,0.106550
637.998492,0.103364
638.998549,0.102727
639.998606,0.104001
640.999663,0.103364
641.999721,0.105275
642.999778,0.102090
643.999835,0.100816
644.998892,0.102090
645.997949,0.101453
646.999006,0.098267
647.998064,0.096993
648.999121,0.093170
649.999178,0.093170
650.998235,0.089985
651.999292,0.085525
652.999350,0.080428
653.998406,0.073420
654.998464,0.054944
655.998521,0.051759
656.999578,0.052396
657.999636,0.047936
658.999693,0.049847
659.999750,0.052396
660.999807,0.046025
661.999864,0.047299
662.997921,0.049210
663.998979,0.049210
664.999036,0.049847
665.999093,0.052396
666.999150,0.053033
667.999207,0.048573
668.999265,0.049210
669.998322,0.045387
670.998379,0.051121
671.998436,0.049210
672.999494,0.048573
673.999551,0.046662
674.999608,0.048573
675.999665,0.046662
676.999722,0.048573
677.999779,0.051121
679.000837,0.049210
679.999894,0.049847
680.999951,0.050484
682.000008,0.049210
683.000065,0.046025
684.000123,0.049210
685.000180,0.050484
686.000237,0.043476
687.000294,0.044750
687.999352,0.044750
688.999409,0.044750
689.999466,0.047299
691.000523,0.045387
692.000580,0.045387
693.000638,0.046025
694.000695,0.049210
694.999752,0.047299
696.000809,0.047299
697.000866,0.047299
697.999923,0.050484
698.999980,0.046025
699.999038,0.045387
701.000095,0.044113
702.000152,0.046662
703.000209,0.045387
704.000267,0.047936
705.000324,0.046025
706.000381,0.047299
707.000438,0.044750
707.999496,0.049847
709.000553,0.046025
710.000610,0.047299
711.000667,0.047936
712.000724,0.048573
713.000782,0.051121
714.000839,0.047299
714.999896,0.047299
715.999953,0.049210
717.000010,0.049210
718.000067,0.053033
719.000124,0.049847
720.000182,0.045387
721.000239,0.047936
722.000296,0.052396
722.999353,0.047299
724.000411,0.049847
724.999468,0.046025
726.000525,0.047936
727.000582,0.047936
728.000639,0.050484
729.000697,0.046662
730.000754,0.047936
730.999811,0.049847
731.999868,0.049210
732.999925,0.047936
733.999982,0.047299
734.999040,0.048573
736.000097,0.049210
737.000154,0.045387
738.000211,0.047936
739.000268,0.044750
740.000326,0.047936
741.000383,0.046662
742.000440,0.048573
743.000497,0.049210
744.000555,0.046025
745.000612,0.047299
746.000669,0.047299
747.000726,0.048573
748.000783,0.047936
749.000841,0.045387
749.998898,0.045387
750.998955,0.047299
752.000012,0.047936
753.000069,0.047936
753.999126,0.047299
754.999184,0.049847
756.000241,0.045387
757.000298,0.047936
758.000355,0.046025
759.000412,0.047936
760.000470,0.049210
761.000527,0.049847
762.000584,0.047299
763.000641,0.042839
763.999698,0.040928
765.000756,0.040928
766.000813,0.040291
767.000870,0.042839
767.999927,0.044113
768.999984,0.039654
770.000041,0.039654
771.000099,0.039016
772.000156,0.039016
773.000213,0.040291
774.000270,0.040291
775.000328,0.040291
775.999385,0.039016
777.000442,0.037105
778.000499,0.039654
779.000556,0.040291
780.000614,0.039654
780.999671,0.039016
781.999728,0.039016
783.000785,0.040291
784.000842,0.039016
784.999899,0.041565
785.998957,0.037742
787.000014,0.040928
788.000071,0.040928
789.000128,0.040291
789.999186,0.039654
791.000243,0.039016
791.999300,0.041565
792.999357,0.042839
794.000414,0.044113
795.000472,0.042202
796.000529,0.042839
796.999586,0.040928
798.000643,0.041565
798.999700,0.039654
800.000758,0.041565
801.000815,0.037742
802.000872,0.041565
802.999929,0.040291
803.999986,0.041565
805.000043,0.044113
806.000101,0.042839
807.000158,0.039016
808.000215,0.040291
809.000272,0.037742
810.000329,0.040928
811.000387,0.042202
812.000444,0.042202
813.000501,0.044113
